labels,corr
2,4.501724992474295e-15
4,1.6301951630415856e-15
5,-3.5022771277465404e-16
6,1.1718725692804588e-15
7,1.535803070194878e-15
8,-2.1403824094336355e-16
9,1.2725820177065247e-15
10,6.282028627423608e-15
18,1.1793363437556474e-16
23,9.22112148247339e-16
24,2.5919604735329704e-16
26,-4.035948723585813e-16
27,8.084962541196611e-16
29,-5.670052315046648e-16
34,0.0
35,-6.247702037914337e-15
38,-8.556822141346268e-16
40,2.1844773268012515e-15
42,1.209352032496563e-15
43,-2.573158467571209e-15
44,3.2551699357636343e-15
45,-7.702558480540027e-15
46,-4.985222726440525e-15
50,-8.8438857997822e-15
51,2.0539837812281253e-16
55,-4.053671799204578e-15
59,-1.231276142236547e-15
60,2.4689256913636767e-15
62,-9.851575062493619e-16
64,1.5567868791470668e-15
71,6.38575476465399e-16
72,9.69176143709669e-16
75,-1.9570883540637234e-16
78,-1.6417623057162647e-15
79,7.991187317088056e-16
82,9.089410949233493e-17
83,5.157824997720652e-16
84,-2.2028916734816622e-16
85,1.9834609693460007e-15
86,-4.2272246987659917e-16
88,3.753253359785437e-16
89,-6.318519270572772e-15
91,4.1116195489579286e-16
94,-3.783482234309179e-16
95,1.2716437911329195e-16
96,-4.277430317629941e-15
98,2.7422195664281746e-15
99,-1.0330801692903206e-15
100,-6.5527861023059e-16
103,1.7624323222308133e-15
105,-8.781647368678576e-16
106,1.5885790004322715e-16
107,-2.2039016755927496e-15
114,1.869337149192731e-15
116,-2.339453461495374e-15
117,-6.515731155784738e-16
123,-3.931515620514587e-16
125,-3.3471047028797193e-16
131,-3.095708520061662e-16
132,-1.1492606975881147e-15
133,-3.2273391811000075e-16
134,-1.1387445044424235e-15
138,2.786932210332718e-16
139,-1.5158588053784913e-15
143,-6.143663323201554e-16
148,4.4595302813232014e-15
150,-3.889307263977066e-15
151,4.105999687585754e-15
152,1.3432192753650058e-15
158,-3.5303159819959795e-15
160,1.0964686848509673e-14
162,4.318138958926468e-16
163,-1.215802855191164e-15
169,-1.0495651769866013e-15
170,-1.3218869116179295e-15
174,-1.3066659744183122e-15
175,1.062367356508489e-15
176,1.8324590278645823e-15
178,-1.2064381354479332e-15
181,-9.74676408150441e-16
184,-4.640519104628796e-16
185,-8.326979100430738e-18
186,-9.339855443408275e-16
189,3.1566644807046453e-16
190,6.677723112975431e-16
192,3.124598818523014e-15
195,1.5624582373232645e-15
198,2.4819697761494563e-16
200,4.451903989054617e-16
202,-1.1428571158844075e-15
203,1.4195815616802654e-15
204,-8.433976238363197e-16
208,9.057362914064253e-16
209,0.0
211,-2.2731247204441092e-17
214,2.756587412309344e-15
217,3.1034925037595504e-15
218,1.637424473120523e-15
221,-1.2138301046775206e-15
222,-9.9600502907255e-16
225,3.3057578264220167e-15
228,-4.140227292549544e-15
230,-7.017116302669311e-15
232,6.103006883468507e-17
233,2.2123734755165393e-16
237,-2.7710901896646444e-15
239,-2.6337098364698665e-16
240,-2.6113311038289166e-15
244,8.3501423275873845e-16
245,8.005684431763881e-17
247,0.0
248,-1.835783564334344e-15
250,5.8199143411778225e-15
253,3.89870441891494e-15
254,-3.702034248600744e-16
256,1.7263193358014753e-15
257,-6.236791962470652e-16
258,-5.379766798428205e-16
262,-4.621492622422962e-16
263,-5.194219771579355e-16
264,-2.1883568317823793e-15
266,1.4856494682701887e-15
267,6.189380557491655e-16
270,-5.078183598047983e-16
271,-3.481077014021194e-16
272,-9.288724604731517e-16
273,-7.613222941687998e-17
275,-2.7569857047868583e-15
276,6.033092018335776e-15
279,7.548585633387462e-16
280,1.2116063188159001e-15
281,-3.549871897778384e-16
282,1.5827636354899083e-15
283,3.0916166175292954e-17
284,6.269532414908724e-16
285,9.177385425071351e-16
287,1.0082655482997576e-15
293,-5.056897553969444e-16
294,-2.445731467001102e-15
295,-2.7780992820328093e-17
299,-3.6693101919438827e-16
304,-3.705157204895435e-16
305,-2.0318421576373237e-16
310,3.795327972922715e-15
311,1.6367208972461647e-16
313,-2.26579979115788e-15
314,2.8237126775035843e-16
315,-2.1737268538680995e-15
318,-3.0602629978656504e-16
319,1.495652198837094e-16
320,-1.382213936824011e-15
322,1.7928590256037653e-16
323,-2.3529429182197015e-16
324,-2.5817326461699318e-15
325,-3.0048709060394273e-15
326,2.008146265679116e-15
328,-1.3427618734359805e-16
330,-7.442634505512112e-16
331,-7.980041976651828e-17
334,-2.9258082670981697e-15
335,-1.0692077468337875e-15
336,-1.0421676698008861e-15
340,-1.152578516886176e-15
342,-3.4499092167601846e-16
345,1.53308586329831e-15
350,-2.246671950182819e-15
358,-3.6877033686504873e-16
